"CatalogProductId","CatalogProductName","Color","HexCode","Size","SKU","GTIN","CarolinaMadePartId","SanMarPartId","SSActivewear_SKU","AlphabroderPartId"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","XS","2597516379","00884913156692","CV3001AQUXS","1293611","B00606042","B002CN092"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","S","4217664650","00884913156708","CV3001AQUS","1293612","B00606043","B002CN093"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","M","3537346011","00884913156715","CV3001AQUM","1293613","B00606044","B002CN094"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","L","4979468887","00884913156722","CV3001AQUL","1293614","B00606045","B002CN095"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","XL","4596383051","00884913156739","CV3001AQUXL","1293615","B00606046","B002CN096"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","2XL","9825035954","00884913156746","CV3001AQUXXL","1293621","B00606047","B002CN097"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","3XL","5234189770","00884913156753","CV3001AQU3X","1293632","B00606048","B002CN098"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","4XL","4456080984","00884913156760","N/A","1293643","B00606049","B002CN099"
"BC3001","Bella + Canvas Jersey Tee","Aqua","#0DA5E0","5XL","6557520228",,"N/A","N/A","N/A","N/A"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","XS","2334403789","00884913403383","N/A","1293651","B00606612","B002CN582"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","S","5585904470","00846503015604","N/A","1293652","B00606613","B002CN583"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","M","1787780143","00846503015611","N/A","1293653","B00606614","B002CN584"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","L","9580361084","00846503015628","N/A","1293654","B00606615","B002CN585"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","XL","2095671047","00846503015635","N/A","1293655","B00606616","B002CN586"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","2XL","3278691587","00846503015642","N/A","1293661","B00606617","B002CN587"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","3XL","4296375712","00884913403390","N/A","1293672","B00606618","B002CN588"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","4XL","1531517021","00884913403406","N/A","1293683","B00606619","B002CN589"
"BC3001","Bella + Canvas Jersey Tee","Army","#4E453C","5XL","4517181718",,"N/A","N/A","N/A","N/A"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","XS","3289551193","00884913234284","CV3001ASHXS","1293691","B00606022","B002CNAP2"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","S","3651613970","00884913234291","CV3001ASHS","1293692","B00606023","B002CNAP3"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","M","8655644838","00884913234307","CV3001ASHM","1293693","B00606024","B002CNAP4"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","L","9182078830","00884913234314","CV3001ASHL","1293694","B00606025","B002CNAP5"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","XL","6476472001","00884913234321","CV3001ASHXL","1293695","B00606026","B002CNAP6"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","2XL","6850820663","00884913234338","CV3001ASHXXL","1293701","B00606027","B002CNAP7"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","3XL","8148593323","00884913234345","CV3001ASH3X","1293712","B00606028","B002CNAP8"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","4XL","7975451118","00884913234352","N/A","1293723","B00606029","B002CNAP9"
"BC3001","Bella + Canvas Jersey Tee","Ash","#C1BCBD","5XL","9822984327",,"N/A","N/A","N/A","N/A"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","XS","7818745497","00884913111271","CV3001ASPXS","1293731","B00606092","B002CN332"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","S","1994054001","00884913111288","CV3001ASPS","1293732","B00606093","B002CN333"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","M","4430098437","00884913111295","CV3001ASPM","1293733","B00606094","B002CN334"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","L","5005963258","00884913111301","CV3001ASPL","1293734","B00606095","B002CN335"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","XL","7011543593","00884913111318","CV3001ASPXL","1293735","B00606096","B002CN336"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","2XL","6044482242","00884913111325","CV3001ASPXXL","1293741","B00606097","B002CN337"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","3XL","2312620803","00884913111332","CV3001ASP3X","1293752","B00606098","B002CN338"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","4XL","9745432420","00884913156777","N/A","1293763","B00606099","B002CN339"
"BC3001","Bella + Canvas Jersey Tee","Asphalt","#404447","5XL","5013085650",,"N/A","N/A","N/A","N/A"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","XS","3738091738","00884913771826","N/A","N/A","B00606072","B002CN742"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","S","6189544881","00884913771833","N/A","N/A","B00606073","B002CN743"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","M","3603549835","00884913771840","N/A","N/A","B00606074","B002CN744"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","L","8512504293","00884913771857","N/A","N/A","B00606075","B002CN745"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","XL","3198772191","00884913771864","N/A","N/A","B00606076","B002CN746"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","2XL","7976464186","00884913771871","N/A","N/A","B00606077","B002CN747"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","3XL","6015215949","00884913771888","N/A","N/A","B00606078","B002CN748"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","4XL","1166311766","00884913771895","N/A","N/A","B00606079","B002CN749"
"BC3001","Bella + Canvas Jersey Tee","Atlantic","#000000","5XL","2784450600",,"N/A","N/A","N/A","N/A"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","XS","8334927458","00884913645042","CV3001AUTXS","1409801","B00606942","B002CND22"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","S","5971159315","00884913645059","CV3001AUTS","1409802","B00606943","B002CND23"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","M","9032493172","00884913645066","CV3001AUTM","1409803","B00606944","B002CND24"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","L","2573272671","00884913645073","CV3001AUTL","1409804","B00606945","B002CND25"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","XL","3579354906","00884913645080","CV3001AUTXL","1409805","B00606946","B002CND26"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","2XL","6622682590","00884913645097","CV3001AUTXXL","1409811","B00606947","B002CND27"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","3XL","7861329265","00884913645103","CV3001AUT3X","1409822","B00606948","B002CND28"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","4XL","5153924692","00884913645110","N/A","1409833","B00606949","B002CND29"
"BC3001","Bella + Canvas Jersey Tee","Autumn","#D15A15","5XL","2713264289",,"N/A","N/A","N/A","N/A"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","XS","4495740645","00884913285408","CV3001BABXS","1293811","B00606282","B002CN552"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","S","9292170901","00884913286801","CV3001BABS","1293812","B00606283","B002CN553"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","M","8782658689","00884913286887","CV3001BABM","1293813","B00606284","B002CN554"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","L","5152335701","00884913285163","CV3001BABL","1293814","B00606285","B002CN555"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","XL","2256471573","00884913285248","CV3001BABXL","1293815","B00606286","B002CN556"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","2XL","5380308245","00884913285323","CV3001BABXXL","1293821","B00606287","B002CN557"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","3XL","3804748069","00884913285484","CV3001BAB3X","1293832","B00606288","B002CN558"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","4XL","5560844682","00884913285507","N/A","1293843","B00606289","B002CN559"
"BC3001","Bella + Canvas Jersey Tee","Baby Blue","#86BDE0","5XL","5370512252",,"N/A","N/A","N/A","N/A"
